DISTRITO,BAIRRO,END_COMPLETO,NUM_ENDERECO,LATITUDE,LONGITUDE,DSC_ESTABELECIMENTO,COD_INDICADOR_ESTAB_ENDERECO
DASAC,SACRAMENTA,TRAVESSA BARAO DO TRIUNFO,424,-1.420477,-48.480572,NENAS RESTAURANTES,1.0
DABEN,BENGUI,RUA SAO JOSE,106,-1.375747,-48.458283,BAR,1.0
DABEN,BENGUI,RUA  AJAX DE OLIVEIRA,788,-1.377813,-48.462136,BAR,1.0
DABEN,BENGUI,RUA  AJAX DE OLIVEIRA,793,-1.377862,-48.46237,VAL CAFE RESTAURANTE,1.0
DABEN,BENGUI,RUA  AJAX DE OLIVEIRA,799,-1.377789,-48.462365,LANCHONETE VAL CAFE,1.0
DABEN,BENGUI,RUA SAO CLEMENTE,798,-1.377822,-48.462725,SUPER BAR,1.0
DABEN,BENGUI,PASSAGEM SAO SEBASTIAO,250,-1.376937,-48.462004,BAR DO PAULAO,1.0
DABEL,SAO BRAS,TRAVESSA  TRES DE MAIO,1761,-1.455589,-48.473886,RESTAURANTE ARIGATO,1.0
DABEL,UMARIZAL,TRAVESSA DOM ROMUALDO DE SEIXAS,720,-1.439575,-48.486894,RESTAURANTE VIA PAULISTA,1.0
DABEL,UMARIZAL,TRAVESSA DOM ROMUALDO COELHO,609,-1.440313,-48.487789,SRA TAPIOCA DOCES E SALGADOS,1.0
DAGUA,GUAMA,RUA  DOS MUNDURUCUS,4466,-1.457251,-48.465754,CAFE E RESTAURANTE TEMPERO DO CHEF,1.0
DAGUA,MONTESE (TERRA FIRME),AVENIDA  RIO TUCUNDUBA,7,-1.463122,-48.454798,BAR DA ROSA,1.0
DAGUA,MONTESE (TERRA FIRME),AVENIDA  RIO TUCUNDUBA,50,-1.462951,-48.454665,BAR,1.0
DAGUA,CONDOR,PASSAGEM  ALVINO,670,-1.471143,-48.473071,BOTECO DO ROBOCOP,1.0
DAGUA,CONDOR,TRAVESSA  TRES DE MAIO,3388,-1.47028,-48.473424,BAR DO TUBARAO,1.0
DAMOS,MANGUEIRAS,RIO  PRATIQUARA,0,-1.162938,-48.432458,RESTAURANTE DO RIO PRATIQUARA,1.0
DAMOS,ARIRAMBA,RODOVIA ENGENHEIRO AUGUSTO MEIRA FILHO OU PA 391,0,-1.130762,-48.424765,BAR,1.0
DABEN,BENGUI,RAMAL  DO JAPONES,18,-1.371138,-48.455272,BAR,1.0
DAGUA,CONDOR,TRAVESSA PADRE EUTIQUIO,3253,-1.46932,-48.478911,BAR,1.0
DAGUA,CONDOR,TRAVESSA PADRE EUTIQUIO,3073,-1.468876,-48.479781,CHURRASCARIA,1.0
DAGUA,CONDOR,RUA  NOVA PRIMEIRA,0,-1.468803,-48.479869,BAR,1.0
DABEN,BENGUI,PASSAGEM SAO MIGUEL,110,-1.373423,-48.454443,BOTECO DO CANIDE,1.0
DAGUA,GUAMA,AVENIDA CONSELHEIRO FURTADO,3820,-1.455811,-48.464109,BAR,1.0
DAGUA,CREMACAO,RUA  DOS CARIPUNAS,1818,-1.460754,-48.483523,BAR E RESTAURANTE PEDRINHOS BAR,1.0
DABEL,UMARIZAL,RUA CONEGO JERONIMO PIMENTEL,678,-1.43906,-48.486261,RESTAURANTE,1.0
