id,nome,categoria,endereco_rua,numero,bairro,endereco_formatado,latitude,longitude,cuisine,site
185641290,Cabral,Casa de Show/Boate,,,,Endereço não disponível no OSM (Apenas Coordenadas),-23.5460761,-46.580143,Não especificada,
449386949,Vitória Pizzaria,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.2973402,-48.4838235,italian,
491465042,Alemão Lanches,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4512557,-48.4872807,Não especificada,
505204835,Reduto,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4435459,-48.4907331,Não especificada,
505204838,Bom do Trigo,Loja de Conveniência,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4438681,-48.4879215,Não especificada,
505204839,Circus Hamburgueria,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4501918,-48.4879558,burger,
505204842,Cia. Paulista de Pizza,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4432503,-48.4900501,pizza,
505204843,Boêmio,Bar,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4431645,-48.4901359,Não especificada,
505204844,Doca Espeto,Bar,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4437371,-48.4905212,Não especificada,
505204988,Milleo,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4456013,-48.4879129,Não especificada,
507113543,Fuji Grill,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4422239,-48.4878898,Não especificada,
507113547,Peixaria Amazonas,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4405164,-48.4914175,seafood,
507113549,Athena,Loja de Conveniência,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4464455,-48.4939409,Não especificada,
603948618,Lojas Americanas Nazaré,Loja de Conveniência,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4520621,-48.4821945,Não especificada,
627001218,JC Refeições,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4562119,-48.4896726,Não especificada,
627001226,Kahori Sushi,Restaurante,Avenida Serzedelo Corrêa,880,Batista Campos,"Avenida Serzedelo Corrêa, 880 - Batista Campos",-1.4604073,-48.4885365,Não especificada,
767884247,Bar do Parque,Pub/Bar,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4531356,-48.4941019,Não especificada,
767884272,Sem Nome Registrado,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4538735,-48.4948592,Não especificada,
770418971,Capone,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4487206,-48.5003324,italian,
954068009,Este-Oeste,Restaurante,Praça do Império,,,Praça do Império,38.6951273,-9.2074335,Não especificada,
1302870977,2good,Restaurante,Rua Duarte Pacheco Pereira,7A,,"Rua Duarte Pacheco Pereira, 7A",38.6979527,-9.219215,portuguese,
1302870999,Vintequatro,Restaurante,Rua Duarte Pacheco Pereira,24A,,"Rua Duarte Pacheco Pereira, 24A",38.6976188,-9.2190655,italian,
1302881375,Pingo Doce & Go,Loja de Conveniência,,,,Endereço não disponível no OSM (Apenas Coordenadas),38.7113488,-9.2143709,Não especificada,https://www.pingodoce.pt/lojas/pdgo-restelo/
1302888591,Sem Nome Registrado,Bar,,,,Endereço não disponível no OSM (Apenas Coordenadas),38.694212,-9.2174309,Não especificada,
1393201626,Território Lounge Bar,Bar,Travessa Benjamin Constant,1321,,"Travessa Benjamin Constant, 1321",-1.4534035,-48.4885232,Não especificada,
1393201896,Municipal Bar e Restaurante,Bar,Travessa Municipalidade,1643,,"Travessa Municipalidade, 1643",-1.4352706,-48.4886909,Não especificada,www.barmunicipal.com
1467720218,Sem Nome Registrado,Loja de Conveniência,,,,Endereço não disponível no OSM (Apenas Coordenadas),38.7147864,-9.2144559,Não especificada,
1468348685,Restaurante O Furão,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),38.7153094,-9.2146637,Não especificada,
1468348686,Restaurante Casa da Amendoeira,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),38.7160788,-9.2151076,Não especificada,
1513403812,O Frade,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),38.6978772,-9.199268,Não especificada,
1513471696,O Prado,Restaurante,Rua da Junqueira,472,,"Rua da Junqueira, 472",38.6975221,-9.1983219,portuguese,oprado.pt
