id,nome,categoria,endereco_rua,numero,bairro,endereco_formatado,latitude,longitude,cuisine,site
185641290,Cabral,Casa de Show/Boate,,,,Endereço não disponível no OSM (Apenas Coordenadas),-23.5460761,-46.580143,Não especificada,
370206141,Tasca Mercado,Café,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4541628,-48.4860811,Não especificada,
449386949,Vitória Pizzaria,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.2973402,-48.4838235,italian,
477853299,Starbucks,Café,Rua de Belém,110,,"Rua de Belém, 110",38.6975196,-9.2036756,coffee_shop,https://www.starbucks.pt/
491465042,Alemão Lanches,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4512557,-48.4872807,Não especificada,
491631971,Associação dos Quarentões,Centro Comunitário,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4611007,-48.449671,Não especificada,
505204835,Reduto,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4435459,-48.4907331,Não especificada,
505204838,Bom do Trigo,Loja de Conveniência,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4438681,-48.4879215,Não especificada,
505204839,Circus Hamburgueria,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4501918,-48.4879558,burger,
505204841,Subway,Fast Food/Lanchonete,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4428093,-48.4904758,sandwich,
505204842,Cia. Paulista de Pizza,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4432503,-48.4900501,pizza,
505204843,Boêmio,Bar,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4431645,-48.4901359,Não especificada,
505204844,Doca Espeto,Bar,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4437371,-48.4905212,Não especificada,
505204863,Batistão Sucos,Fast Food/Lanchonete,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4414826,-48.493557,Não especificada,
505204988,Milleo,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4456013,-48.4879129,Não especificada,
507113543,Fuji Grill,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4422239,-48.4878898,Não especificada,
507113547,Peixaria Amazonas,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4405164,-48.4914175,seafood,
507113549,Athena,Loja de Conveniência,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4464455,-48.4939409,Não especificada,
595010409,Spots,Café,,,,Endereço não disponível no OSM (Apenas Coordenadas),38.7067277,-9.2095152,Não especificada,
603948618,Lojas Americanas Nazaré,Loja de Conveniência,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4520621,-48.4821945,Não especificada,
621053912,Panificadora Sagres,Café,Rua dos Caripunas,1717,Batista Campos,"Rua dos Caripunas, 1717 - Batista Campos",-1.462334,-48.4873482,Não especificada,
627001218,JC Refeições,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4562119,-48.4896726,Não especificada,
627001226,Kahori Sushi,Restaurante,Avenida Serzedelo Corrêa,880,Batista Campos,"Avenida Serzedelo Corrêa, 880 - Batista Campos",-1.4604073,-48.4885365,Não especificada,
767884247,Bar do Parque,Pub/Bar,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4531356,-48.4941019,Não especificada,
767884272,Sem Nome Registrado,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4538735,-48.4948592,Não especificada,
770418971,Capone,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4487206,-48.5003324,italian,
950508832,Sem Nome Registrado,Café,,,,Endereço não disponível no OSM (Apenas Coordenadas),38.7024372,-9.2062211,Não especificada,
950508984,Sem Nome Registrado,Café,,,,Endereço não disponível no OSM (Apenas Coordenadas),38.7077035,-9.2072189,Não especificada,
950509262,Sem Nome Registrado,Café,,,,Endereço não disponível no OSM (Apenas Coordenadas),38.7084151,-9.2122185,Não especificada,
950509615,Sem Nome Registrado,Café,,,,Endereço não disponível no OSM (Apenas Coordenadas),38.7116764,-9.2134153,Não especificada,
950509889,Gandhi Palace,Café,,,,Endereço não disponível no OSM (Apenas Coordenadas),38.7115758,-9.21327,indian,
954068009,Este-Oeste,Restaurante,Praça do Império,,,Praça do Império,38.6951273,-9.2074335,Não especificada,
1302863147,Café Império,Café,,,,Endereço não disponível no OSM (Apenas Coordenadas),38.6952351,-9.2152776,Não especificada,
1302870977,2good,Restaurante,Rua Duarte Pacheco Pereira,7A,,"Rua Duarte Pacheco Pereira, 7A",38.6979527,-9.219215,portuguese,
1302870987,Madalen AS,Café,Rua Duarte Pacheco Pereira,9B,,"Rua Duarte Pacheco Pereira, 9B",38.6983756,-9.218618,takeaway;portuguese,
1302870989,Café gelados Chile,Café,Rua Duarte Pacheco Pereira,7F,,"Rua Duarte Pacheco Pereira, 7F",38.6981305,-9.2189838,coffee_shop;ice_cream,
1302870990,Pastelaria Restelo (Careca),Café,Rua Duarte Pacheco Pereira,11B,,"Rua Duarte Pacheco Pereira, 11B",38.6985484,-9.2184023,cake;coffee_shop;portuguese,https://pastelariaocareca.pt/
1302870999,Vintequatro,Restaurante,Rua Duarte Pacheco Pereira,24A,,"Rua Duarte Pacheco Pereira, 24A",38.6976188,-9.2190655,italian,
1302881356,Vella Café,Café,,,,Endereço não disponível no OSM (Apenas Coordenadas),38.6931618,-9.2135462,Não especificada,
1302881364,Sem Nome Registrado,Café,,,,Endereço não disponível no OSM (Apenas Coordenadas),38.7113614,-9.2145077,Não especificada,
